City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vylkove,UA,45.4021,29.586,58.71,83,12,1.25,few clouds
1,Vostok,RU,46.4856,135.8833,59.7,40,65,3.53,broken clouds
2,Ushuaia,AR,-54.8,-68.3,28.06,100,75,20.71,light snow
3,Portland,US,45.5234,-122.6762,74.37,42,75,3.0,broken clouds
4,Bluff,NZ,-46.6,168.3333,49.8,69,100,13.87,light rain
5,Andenes,NO,69.3143,16.1194,44.08,81,20,13.8,few clouds
6,Khatanga,RU,71.9667,102.5,27.1,87,64,10.58,broken clouds
7,Mataura,NZ,-46.1927,168.8643,49.48,65,100,2.48,light rain
8,Olafsvik,IS,64.8945,-23.7142,45.84,86,66,5.7,broken clouds
9,Meulaboh,ID,4.1363,96.1285,78.06,85,100,9.26,overcast clouds
10,Punta Arenas,CL,-53.15,-70.9167,30.31,74,20,11.77,few clouds
11,Mattru,SL,7.6244,-11.8332,74.71,97,88,0.85,overcast clouds
12,Upernavik,GL,72.7868,-56.1549,31.3,93,100,10.0,overcast clouds
13,Havelock,US,34.8791,-76.9013,76.96,84,40,7.0,scattered clouds
14,Barra Do Garcas,BR,-15.89,-52.2567,75.04,64,15,5.28,few clouds
15,Ginda,IN,30.6945,78.4932,63.21,38,0,6.31,clear sky
16,Srednekolymsk,RU,67.45,153.6833,61.68,36,100,14.99,overcast clouds
17,Vila,PT,42.0304,-8.1588,52.34,81,79,3.65,broken clouds
18,Ribeira Grande,PT,38.5167,-28.7,59.86,68,85,14.07,overcast clouds
19,Barrow,US,71.2906,-156.7887,33.82,80,90,14.97,overcast clouds
20,Hobart,AU,-42.8794,147.3294,51.66,68,75,5.99,broken clouds
21,Volodarka,UA,49.5248,29.9122,54.55,97,30,2.17,scattered clouds
22,Hays,US,30.0502,-98.0336,82.96,78,8,7.0,clear sky
23,Butaritari,KI,3.0707,172.7902,83.59,79,74,18.86,light rain
24,Qaanaaq,GL,77.484,-69.3632,31.26,78,0,3.74,clear sky
25,Gat,IL,31.61,34.7642,72.39,58,0,1.41,clear sky
26,Atuona,PF,-9.8,-139.0333,79.61,75,77,13.47,light rain
27,Bela,IN,25.9333,81.9833,79.9,78,99,13.69,overcast clouds
28,Teahupoo,PF,-17.8333,-149.2667,76.96,73,49,8.05,scattered clouds
29,Tuatapere,NZ,-46.1333,167.6833,49.82,71,100,7.65,overcast clouds
30,Kapaa,US,22.0752,-159.319,83.19,70,75,1.99,broken clouds
31,Ibipeba,BR,-11.6408,-42.0111,65.43,87,73,4.94,broken clouds
32,Chuy,UY,-33.6971,-53.4616,53.74,81,17,10.54,few clouds
33,Cape Town,ZA,-33.9258,18.4232,55.11,89,100,4.81,overcast clouds
34,Hualmay,PE,-11.0964,-77.6139,66.07,90,36,5.48,scattered clouds
35,Hasaki,JP,35.7333,140.8333,64.69,90,100,15.59,moderate rain
36,Dikson,RU,73.5069,80.5464,28.67,96,100,13.47,light snow
37,Longyearbyen,SJ,78.2186,15.6401,33.64,80,75,12.66,broken clouds
38,Port Lincoln,AU,-34.7333,135.8667,60.71,65,100,6.31,overcast clouds
39,Chernyakhovsk,RU,54.6335,21.8156,48.74,95,89,11.68,overcast clouds
40,Ponta Do Sol,PT,32.6667,-17.1,67.01,77,100,4.47,overcast clouds
41,Seoul,KR,37.5683,126.9778,60.31,94,90,7.54,overcast clouds
42,Kodiak,US,57.79,-152.4072,54.91,58,1,4.61,clear sky
43,Hambantota,LK,6.1241,81.1185,79.14,89,40,24.65,scattered clouds
44,Hermanus,ZA,-34.4187,19.2345,54.9,75,100,4.43,overcast clouds
45,East London,ZA,-33.0153,27.9116,64.27,88,98,8.01,overcast clouds
46,Hilo,US,19.7297,-155.09,83.28,71,75,9.22,broken clouds
47,Albany,US,42.6001,-73.9662,68.72,89,81,4.27,moderate rain
48,Chokurdakh,RU,70.6333,147.9167,43.57,70,38,9.98,scattered clouds
49,Castro,BR,-24.7911,-50.0119,57.69,61,100,2.04,overcast clouds
50,Walvis Bay,NA,-22.9575,14.5053,67.15,48,1,5.39,clear sky
51,Fairbanks,US,64.8378,-147.7164,66.6,32,90,0.0,overcast clouds
52,Mabaruma,GY,8.2,-59.7833,74.43,98,100,5.3,overcast clouds
53,Grand Gaube,MU,-20.0064,57.6608,72.0,83,8,8.23,clear sky
54,Lianran,CN,24.9227,102.485,55.94,71,99,4.05,overcast clouds
55,Katsuura,JP,35.1333,140.3,62.71,94,100,10.0,moderate rain
56,Nikolskoye,RU,59.7035,30.7861,46.4,98,100,5.08,overcast clouds
57,Toguchin,RU,55.2353,84.3858,70.83,68,85,9.06,overcast clouds
58,Port Alfred,ZA,-33.5906,26.891,60.8,84,53,8.23,broken clouds
59,Bengkulu,ID,-3.8004,102.2655,81.91,73,40,3.89,scattered clouds
60,San Luis,AR,-33.295,-66.3356,53.38,56,0,4.16,clear sky
61,Rikitea,PF,-23.1203,-134.9692,75.25,69,94,19.6,overcast clouds
62,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,74,90,10.36,overcast clouds
63,Ozernovskiy,RU,51.5,156.5167,39.65,87,100,5.12,overcast clouds
64,Avarua,CK,-21.2078,-159.775,82.45,78,40,9.22,light rain
65,Norman Wells,CA,65.282,-126.8329,53.64,50,75,10.36,broken clouds
66,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,59.92,67,48,3.78,scattered clouds
67,Ust-Tsilma,RU,65.441,52.1498,35.47,58,18,2.26,few clouds
68,Kavieng,PG,-2.5744,150.7967,81.09,83,100,8.3,light rain
69,Santa Cruz De La Palma,ES,28.6835,-17.7642,68.14,68,90,14.97,overcast clouds
70,Colesberg,ZA,-30.72,25.0972,52.97,51,100,7.65,overcast clouds
71,Port Elizabeth,ZA,-33.918,25.5701,52.09,93,0,2.3,clear sky
72,Camocim,BR,-2.9022,-40.8411,77.16,82,85,9.6,overcast clouds
73,Busselton,AU,-33.65,115.3333,59.04,64,100,15.68,overcast clouds
74,Luderitz,NA,-26.6481,15.1594,62.46,67,65,4.94,broken clouds
75,Padang,ID,-0.9492,100.3543,80.65,78,100,2.8,overcast clouds
76,Polson,US,47.6936,-114.1632,60.42,72,31,7.96,scattered clouds
77,San Vicente,AR,-26.6167,-54.1333,54.25,63,25,1.32,scattered clouds
78,San Patricio,US,28.017,-97.5169,81.32,83,3,12.39,clear sky
79,Bocaiuva,BR,-17.1078,-43.815,69.51,73,41,4.03,scattered clouds
80,Inhambane,MZ,-23.865,35.3833,64.31,77,0,2.73,clear sky
81,Tasiilaq,GL,65.6145,-37.6368,41.16,92,100,25.95,light rain
82,Iqaluit,CA,63.7506,-68.5145,31.73,80,75,10.36,broken clouds
83,Rocha,UY,-34.4833,-54.3333,56.79,74,98,14.38,overcast clouds
84,Guerrero Negro,MX,27.9769,-114.0611,66.88,66,63,17.18,broken clouds
85,Cherskiy,RU,68.75,161.3,59.72,33,87,6.8,overcast clouds
86,Panshi,CN,42.9422,126.0561,61.03,47,0,7.56,clear sky
87,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,86,90,14.85,overcast clouds
88,Baruun-Urt,MN,46.6806,113.2792,52.39,52,100,16.15,overcast clouds
89,Fare,PF,-16.7,-151.0167,81.18,71,21,12.03,few clouds
90,Mar Del Plata,AR,-38.0023,-57.5575,55.13,56,0,7.0,clear sky
91,Vila Velha,BR,-20.3297,-40.2925,73.35,91,20,2.3,few clouds
92,Puerto Ayora,EC,-0.7393,-90.3518,74.55,91,64,5.01,broken clouds
93,Erzin,TR,36.9559,36.2,70.52,57,0,1.79,clear sky
94,Souillac,MU,-20.5167,57.5167,71.98,94,20,3.74,few clouds
95,Marshall,US,34.3834,-86.3333,78.82,65,1,3.8,clear sky
96,Chicama,PE,-7.8447,-79.1469,64.94,84,11,5.99,few clouds
97,Bredasdorp,ZA,-34.5322,20.0403,51.12,93,100,3.83,overcast clouds
98,Saint-Joseph,RE,-21.3667,55.6167,68.38,80,18,0.2,few clouds
99,Jamestown,US,42.097,-79.2353,64.18,82,1,4.0,clear sky
100,Torbay,CA,47.6666,-52.7314,49.87,96,90,5.75,light rain
101,Hobyo,SO,5.3505,48.5268,78.26,78,9,16.75,clear sky
102,Serebryanyy Bor,RU,56.8,124.8,43.12,84,93,1.21,overcast clouds
103,Ambulu,ID,-8.345,113.6058,80.91,69,95,1.92,overcast clouds
104,Qasigiannguit,GL,68.8193,-51.1922,53.85,45,100,18.95,overcast clouds
105,Buala,SB,-8.145,159.5921,82.49,76,81,15.48,light rain
106,San Cristobal,VE,7.7669,-72.225,77.18,89,29,2.77,scattered clouds
107,Saint George,US,37.1041,-113.5841,88.39,9,1,3.0,clear sky
108,Maraba,BR,-5.3686,-49.1178,73.65,91,0,2.21,clear sky
109,Alofi,NU,-19.0595,-169.9187,78.69,83,75,6.91,broken clouds
110,Zhuanghe,CN,39.7008,122.9911,68.02,38,6,10.33,clear sky
111,Alta Floresta,BR,-9.8756,-56.0861,73.0,68,10,3.47,clear sky
112,Petrolina De Goias,BR,-16.095,-49.3381,75.36,59,14,3.13,few clouds
113,Atar,MR,20.5169,-13.0499,84.27,18,0,7.96,clear sky
114,Airai,TL,-8.9266,125.4092,69.13,56,11,5.48,few clouds
115,Pangnirtung,CA,66.1451,-65.7125,22.93,92,100,4.21,overcast clouds
116,Superior,US,46.7208,-92.1041,56.7,47,1,4.61,clear sky
117,Henties Bay,NA,-22.116,14.2845,66.2,62,5,6.06,clear sky
118,Vaini,TO,-21.2,-175.2,78.96,69,20,10.36,few clouds
119,Ahtopol,BG,42.1,27.95,57.67,93,99,6.22,light rain
120,Sembe,CG,1.6481,14.5806,71.92,96,99,1.59,overcast clouds
121,Fort Smith,US,35.3859,-94.3986,80.64,77,1,4.61,clear sky
122,Lebu,CL,-37.6167,-73.65,57.29,95,100,6.49,moderate rain
123,Lompoc,US,34.6391,-120.4579,69.39,79,75,11.5,broken clouds
124,Wagar,SD,16.1525,36.2032,90.39,25,5,5.39,clear sky
125,Carnarvon,AU,-24.8667,113.6333,68.07,49,40,10.36,scattered clouds
126,Sechura,PE,-5.5569,-80.8222,71.73,79,21,15.19,few clouds
127,Bambanglipuro,ID,-7.95,110.2833,82.04,72,27,6.44,scattered clouds
128,Lyngseidet,NO,69.5763,20.2189,38.46,74,26,5.01,scattered clouds
129,Fort Nelson,CA,58.8053,-122.7002,56.79,51,75,5.75,light rain
130,Esperance,AU,-33.8667,121.9,55.24,60,100,17.11,overcast clouds
131,Sorland,NO,67.667,12.6934,43.32,83,86,21.88,overcast clouds
132,Leningradskiy,RU,69.3833,178.4167,35.42,84,33,6.58,scattered clouds
133,Kruisfontein,ZA,-34.0033,24.7314,53.38,79,100,4.29,overcast clouds
134,Sorong,ID,-0.8833,131.25,81.84,80,100,10.31,overcast clouds
135,Cidreira,BR,-30.1811,-50.2056,57.4,74,100,6.15,overcast clouds
136,Yulara,AU,-25.2406,130.9889,55.24,47,100,20.71,overcast clouds
137,Anuradhapura,LK,8.3565,80.4173,77.63,85,100,14.85,overcast clouds
138,Tilichiki,RU,60.4667,166.1,35.87,98,100,5.5,overcast clouds
139,Ust-Kuyga,RU,70.0167,135.6,58.39,49,100,16.96,overcast clouds
140,Ibanda,TZ,-2.7974,32.4746,66.79,74,98,4.18,overcast clouds
141,Narsaq,GL,60.9167,-46.05,35.82,99,100,2.1,overcast clouds
142,Singaraja,ID,-8.112,115.0882,83.68,66,13,1.45,few clouds
143,Winnemucca,US,40.973,-117.7357,73.45,14,1,3.98,clear sky
144,Thunder Bay,CA,48.4001,-89.3168,48.56,45,20,8.05,few clouds
145,Coahuayana,MX,18.7333,-103.6833,81.72,66,100,3.98,overcast clouds
146,Codrington,AU,-38.2667,141.9667,55.81,77,100,16.78,overcast clouds
147,Pisco,PE,-13.7,-76.2167,65.01,94,40,5.75,scattered clouds
148,Mahebourg,MU,-20.4081,57.7,71.89,94,20,6.91,few clouds
149,Taiyuan,CN,37.8694,112.5603,69.66,28,0,11.45,clear sky
150,Nador,MA,35.174,-2.9287,64.65,88,75,8.75,broken clouds
151,Hefei,CN,31.8639,117.2808,75.94,78,0,6.71,clear sky
152,Shieli,KZ,44.1667,66.75,74.91,48,96,6.89,overcast clouds
153,Foumban,CM,5.7291,10.9001,62.49,93,100,3.67,overcast clouds
154,Sao Filipe,CV,14.8961,-24.4956,74.23,73,0,8.19,clear sky
155,Kirovskiy,RU,45.0917,133.5136,61.2,52,100,3.18,overcast clouds
156,Nacogdoches,US,31.6002,-94.6335,82.26,83,20,4.61,few clouds
157,Campbell River,CA,50.0163,-125.2446,50.72,84,90,1.01,overcast clouds
158,Ambilobe,MG,-13.2,49.05,67.28,93,3,2.64,clear sky
159,Luanda,AO,-8.8368,13.2343,72.54,87,0,7.65,clear sky
160,Saskylakh,RU,71.9167,114.0833,37.04,82,100,12.35,overcast clouds
161,Dongsheng,CN,39.8161,109.9776,64.11,20,0,29.75,clear sky
162,Arlit,NE,18.7369,7.3853,87.1,5,100,9.24,overcast clouds
163,Flinders,AU,-34.5833,150.8552,63.18,53,0,7.0,clear sky
164,New Norfolk,AU,-42.7826,147.0587,51.3,66,32,4.0,scattered clouds
165,Chifeng,CN,42.2683,118.9636,64.04,32,89,4.25,overcast clouds
166,Quchan,IR,37.106,58.5095,60.73,74,99,9.53,overcast clouds
167,Bambous Virieux,MU,-20.3428,57.7575,71.85,94,20,4.83,few clouds
168,Klaksvik,FO,62.2266,-6.589,40.12,77,89,15.28,overcast clouds
169,San Quintin,MX,30.4833,-115.95,63.68,77,100,13.56,overcast clouds
170,Goure,NE,13.9835,10.2704,82.22,10,5,5.28,clear sky
171,Torhout,BE,51.0607,3.0984,51.82,94,17,1.99,few clouds
172,Aswan,EG,24.0934,32.907,84.34,16,0,6.98,clear sky
173,Acarau,BR,-2.8856,-40.12,79.0,83,64,13.18,broken clouds
174,Sulangan,PH,11.1373,123.7228,83.19,73,57,2.66,broken clouds
175,Te Anau,NZ,-45.4167,167.7167,50.81,73,100,6.24,overcast clouds
176,Ancud,CL,-41.8697,-73.8203,57.42,93,100,21.14,overcast clouds
177,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,81,70,8.9,broken clouds
178,Kyra,RU,49.5776,111.9753,47.91,65,98,12.17,light rain
179,Moulins,FR,46.5,3.3333,53.42,99,100,2.66,overcast clouds
180,Newport,GB,51.5877,-2.9984,49.68,88,0,3.89,clear sky
181,Riyadh,SA,24.6877,46.7219,84.25,17,0,0.0,clear sky
182,Garden City,US,42.3256,-83.331,71.85,56,1,1.01,clear sky
183,Vanimo,PG,-2.6741,141.3028,86.34,64,49,1.66,scattered clouds
184,Axim,GH,4.8699,-2.2405,79.9,87,69,7.49,broken clouds
185,Raahe,FI,64.6833,24.4833,39.29,70,82,14.38,light rain
186,Taoudenni,ML,22.6783,-3.9836,94.39,19,100,6.33,overcast clouds
187,San Rafael,AR,-34.6177,-68.3301,58.06,34,22,1.25,few clouds
188,La Orilla,MX,17.9833,-102.2333,82.11,61,39,9.13,scattered clouds
189,Corinto,GR,37.9407,22.9573,74.75,68,0,5.3,clear sky
190,Lorengau,PG,-2.0226,147.2712,79.54,87,100,12.64,overcast clouds
191,Mocuba,MZ,-16.8392,36.9856,55.76,91,0,2.53,clear sky
192,Monterey,US,36.2505,-121.2516,78.71,25,0,13.49,clear sky
193,Manakara,MG,-22.1333,48.0167,64.22,94,26,4.9,scattered clouds
194,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,81,0,4.61,clear sky
195,Sydney,AU,-33.8679,151.2073,63.32,50,0,1.01,clear sky
196,Omsukchan,RU,62.5333,155.8,40.17,69,100,7.61,overcast clouds
197,Palmer,US,42.1584,-72.3287,69.73,86,90,3.0,overcast clouds
198,Kaitangata,NZ,-46.2817,169.8464,48.18,47,100,3.94,overcast clouds
199,Roebourne,AU,-20.7833,117.1333,75.04,53,100,20.42,overcast clouds
200,Kibala,TD,9.1104,18.3463,78.75,78,0,0.0,clear sky
201,Simao,CN,22.7886,100.9748,71.17,83,100,1.14,overcast clouds
202,Pevek,RU,69.7008,170.3133,32.94,88,6,3.04,clear sky
203,Guilin,CN,25.2819,110.2864,75.31,88,90,2.86,light rain
204,Cockburn Town,TC,21.4612,-71.1419,79.23,78,9,15.03,clear sky
205,Port Macquarie,AU,-31.4333,152.9167,65.89,52,8,10.27,clear sky
206,Shimoda,JP,34.6667,138.95,63.1,96,100,12.82,overcast clouds
207,Chimbote,PE,-9.0853,-78.5783,66.72,91,79,6.2,broken clouds
208,Pringsewu,ID,-5.3582,104.9744,80.53,84,99,3.58,overcast clouds
209,Zelenoborsk,RU,61.4669,64.0333,39.6,70,100,11.3,overcast clouds
210,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,83,40,3.44,scattered clouds
211,Dingle,PH,10.9995,122.6711,86.4,66,18,4.79,few clouds
212,Broken Hill,AU,-31.95,141.4333,56.91,62,0,11.5,clear sky
213,Broome,US,42.2506,-75.833,69.37,96,90,1.01,overcast clouds
214,Port Hedland,AU,-20.3167,118.5667,78.85,29,84,19.57,broken clouds
215,Port-Gentil,GA,-0.7193,8.7815,79.12,86,100,11.99,overcast clouds
216,Semnan,IR,35.5729,53.3971,64.63,55,4,6.85,clear sky
217,Georgetown,MY,5.4112,100.3354,77.9,96,40,9.22,moderate rain
218,Tamiahua,MX,21.2667,-97.45,81.37,82,100,8.95,overcast clouds
219,Toamasina,MG,-18.1667,49.3833,64.4,100,20,4.61,few clouds
220,Iquitos,PE,-3.7481,-73.2472,75.24,94,75,0.0,broken clouds
221,Talnakh,RU,69.4865,88.3972,22.93,91,52,3.4,broken clouds
222,Portsmouth,GB,50.799,-1.0913,51.96,95,4,4.25,clear sky
223,Auki,SB,-8.7676,160.7034,84.58,66,34,13.0,scattered clouds
224,Chalus,IR,36.655,51.4204,65.66,94,90,4.61,overcast clouds
225,Namibe,AO,-15.1961,12.1522,73.11,65,0,6.08,clear sky
226,Lagoa,PT,39.05,-27.9833,59.09,66,99,14.23,overcast clouds
227,Avera,US,33.194,-82.5271,84.7,47,90,9.57,overcast clouds
228,Alvorada,BR,-12.48,-49.1247,76.12,41,60,4.09,broken clouds
229,Fomboni,KM,-12.28,43.7425,79.11,62,0,17.56,clear sky
